Distributor_ID,Distributor_Name,Region,State,City,Primary_Channel,Credit_Terms_Days,Active
DIST-NO-0001,New Delhi FMCG Distributors Pvt Ltd,North,Delhi,New Delhi,Modern Trade,30,Yes
DIST-NO-0002,Noida FMCG Distributors Pvt Ltd,North,Delhi,Noida,Modern Trade,30,Yes
DIST-NO-0003,Gurugram FMCG Distributors Pvt Ltd,North,Delhi,Gurugram,Modern Trade,30,Yes
DIST-NO-0004,Ludhiana FMCG Distributors Pvt Ltd,North,Punjab,Ludhiana,Modern Trade,30,Yes
DIST-NO-0005,Amritsar FMCG Distributors Pvt Ltd,North,Punjab,Amritsar,Modern Trade,30,Yes
DIST-NO-0006,Faridabad FMCG Distributors Pvt Ltd,North,Haryana,Faridabad,Modern Trade,30,Yes
DIST-NO-0007,Panipat FMCG Distributors Pvt Ltd,North,Haryana,Panipat,Modern Trade,30,Yes
DIST-SO-0008,Chennai FMCG Distributors Pvt Ltd,South,Tamil Nadu,Chennai,Modern Trade,30,Yes
DIST-SO-0009,Coimbatore FMCG Distributors Pvt Ltd,South,Tamil Nadu,Coimbatore,Modern Trade,30,Yes
DIST-SO-0010,Madurai FMCG Distributors Pvt Ltd,South,Tamil Nadu,Madurai,Modern Trade,30,Yes
DIST-SO-0011,Bengaluru FMCG Distributors Pvt Ltd,South,Karnataka,Bengaluru,Modern Trade,30,Yes
DIST-SO-0012,Mysuru FMCG Distributors Pvt Ltd,South,Karnataka,Mysuru,Modern Trade,30,Yes
DIST-SO-0013,Kochi FMCG Distributors Pvt Ltd,South,Kerala,Kochi,Modern Trade,30,Yes
DIST-SO-0014,Thiruvananthapuram FMCG Distributors Pvt Ltd,South,Kerala,Thiruvananthapuram,Modern Trade,30,Yes
DIST-EA-0015,Kolkata FMCG Distributors Pvt Ltd,East,West Bengal,Kolkata,Modern Trade,30,Yes
DIST-EA-0016,Siliguri FMCG Distributors Pvt Ltd,East,West Bengal,Siliguri,Modern Trade,30,Yes
DIST-EA-0017,Bhubaneswar FMCG Distributors Pvt Ltd,East,Odisha,Bhubaneswar,Modern Trade,30,Yes
DIST-EA-0018,Cuttack FMCG Distributors Pvt Ltd,East,Odisha,Cuttack,Modern Trade,30,Yes
DIST-EA-0019,Patna FMCG Distributors Pvt Ltd,East,Bihar,Patna,Modern Trade,30,Yes
DIST-EA-0020,Gaya FMCG Distributors Pvt Ltd,East,Bihar,Gaya,Modern Trade,30,Yes
DIST-WE-0021,Mumbai FMCG Distributors Pvt Ltd,West,Maharashtra,Mumbai,Modern Trade,30,Yes
DIST-WE-0022,Pune FMCG Distributors Pvt Ltd,West,Maharashtra,Pune,Modern Trade,30,Yes
DIST-WE-0023,Nagpur FMCG Distributors Pvt Ltd,West,Maharashtra,Nagpur,Modern Trade,30,Yes
DIST-WE-0024,Ahmedabad FMCG Distributors Pvt Ltd,West,Gujarat,Ahmedabad,Modern Trade,30,Yes
DIST-WE-0025,Surat FMCG Distributors Pvt Ltd,West,Gujarat,Surat,Modern Trade,30,Yes
DIST-WE-0026,Panaji FMCG Distributors Pvt Ltd,West,Goa,Panaji,Modern Trade,30,Yes
DIST-WE-0027,Margao FMCG Distributors Pvt Ltd,West,Goa,Margao,Modern Trade,30,Yes
DIST-CE-0028,Bhopal FMCG Distributors Pvt Ltd,Central,Madhya Pradesh,Bhopal,Modern Trade,30,Yes
DIST-CE-0029,Indore FMCG Distributors Pvt Ltd,Central,Madhya Pradesh,Indore,Modern Trade,30,Yes
DIST-CE-0030,Raipur FMCG Distributors Pvt Ltd,Central,Chhattisgarh,Raipur,Modern Trade,30,Yes
DIST-CE-0031,Bilaspur FMCG Distributors Pvt Ltd,Central,Chhattisgarh,Bilaspur,Modern Trade,30,Yes
DIST-CE-0032,Jaipur FMCG Distributors Pvt Ltd,Central,Rajasthan,Jaipur,Modern Trade,30,Yes
DIST-CE-0033,Jodhpur FMCG Distributors Pvt Ltd,Central,Rajasthan,Jodhpur,Modern Trade,30,Yes
DIST-NO-0034,New Delhi FMCG Distributors Pvt Ltd,North,Delhi,New Delhi,Modern Trade,30,Yes
DIST-NO-0035,Noida FMCG Distributors Pvt Ltd,North,Delhi,Noida,Modern Trade,30,Yes
DIST-NO-0036,Gurugram FMCG Distributors Pvt Ltd,North,Delhi,Gurugram,Modern Trade,30,Yes
DIST-NO-0037,Ludhiana FMCG Distributors Pvt Ltd,North,Punjab,Ludhiana,Modern Trade,30,Yes
DIST-NO-0038,Amritsar FMCG Distributors Pvt Ltd,North,Punjab,Amritsar,Modern Trade,30,Yes
DIST-NO-0039,Faridabad FMCG Distributors Pvt Ltd,North,Haryana,Faridabad,Modern Trade,30,Yes
DIST-NO-0040,Panipat FMCG Distributors Pvt Ltd,North,Haryana,Panipat,Modern Trade,30,Yes
DIST-SO-0041,Chennai FMCG Distributors Pvt Ltd,South,Tamil Nadu,Chennai,Modern Trade,30,Yes
DIST-SO-0042,Coimbatore FMCG Distributors Pvt Ltd,South,Tamil Nadu,Coimbatore,Modern Trade,30,Yes
DIST-SO-0043,Madurai FMCG Distributors Pvt Ltd,South,Tamil Nadu,Madurai,Modern Trade,30,Yes
DIST-SO-0044,Bengaluru FMCG Distributors Pvt Ltd,South,Karnataka,Bengaluru,Modern Trade,30,Yes
DIST-SO-0045,Mysuru FMCG Distributors Pvt Ltd,South,Karnataka,Mysuru,Modern Trade,30,Yes
