Month,Region,Department,Cost_Center,Opening,Hires,Terminations,Closing,Salary_per_Employee,Benefits_per_Employee,Total_Salary_Cost,Total_Compensation
2025-04,North,Sales,RC-NO-SAL,48,1,0,49,45000,5400,2205000,2469600
2025-04,North,Warehouse,RC-NO-WAR,58,1,0,59,29000,3480,1711000,1916320
2025-04,North,Admin,RC-NO-ADM,22,1,0,23,56000,6720,1288000,1442560
2025-04,North,Field_Marketing,RC-NO-FIE,18,1,0,19,38000,4560,722000,808640
2025-04,North,Customer_Support,RC-NO-CUS,14,1,0,15,32000,3840,480000,537600
2025-04,South,Sales,RC-SO-SAL,62,2,0,64,45000,5400,2880000,3225600
2025-04,South,Warehouse,RC-SO-WAR,72,1,0,73,29000,3480,2117000,2371040
2025-04,South,Admin,RC-SO-ADM,28,1,0,29,56000,6720,1624000,1818880
2025-04,South,Field_Marketing,RC-SO-FIE,24,1,0,25,38000,4560,950000,1064000
2025-04,South,Customer_Support,RC-SO-CUS,20,1,0,21,32000,3840,672000,752640
2025-04,East,Sales,RC-EA-SAL,38,1,0,39,45000,5400,1755000,1965600
2025-04,East,Warehouse,RC-EA-WAR,48,1,0,49,29000,3480,1421000,1591520
2025-04,East,Admin,RC-EA-ADM,16,1,0,17,56000,6720,952000,1066240
2025-04,East,Field_Marketing,RC-EA-FIE,14,1,0,15,38000,4560,570000,638400
2025-04,East,Customer_Support,RC-EA-CUS,12,1,0,13,32000,3840,416000,465920
2025-04,West,Sales,RC-WE-SAL,45,1,0,46,45000,5400,2070000,2318400
2025-04,West,Warehouse,RC-WE-WAR,54,1,0,55,29000,3480,1595000,1786400
2025-04,West,Admin,RC-WE-ADM,20,1,0,21,56000,6720,1176000,1317120
2025-04,West,Field_Marketing,RC-WE-FIE,17,1,0,18,38000,4560,684000,766080
2025-04,West,Customer_Support,RC-WE-CUS,15,1,0,16,32000,3840,512000,573440
2025-04,Central,Sales,RC-CE-SAL,32,1,0,33,45000,5400,1485000,1663200
2025-04,Central,Warehouse,RC-CE-WAR,42,1,0,43,29000,3480,1247000,1396640
2025-04,Central,Admin,RC-CE-ADM,14,1,0,15,56000,6720,840000,940800
2025-04,Central,Field_Marketing,RC-CE-FIE,11,1,0,12,38000,4560,456000,510720
2025-04,Central,Customer_Support,RC-CE-CUS,10,1,0,11,32000,3840,352000,394240
2025-05,North,Sales,RC-NO-SAL,49,1,0,50,45000,5400,2250000,2520000
2025-05,North,Warehouse,RC-NO-WAR,59,1,0,60,29000,3480,1740000,1948800
2025-05,North,Admin,RC-NO-ADM,23,1,0,24,56000,6720,1344000,1505280
2025-05,North,Field_Marketing,RC-NO-FIE,19,1,0,20,38000,4560,760000,851200
2025-05,North,Customer_Support,RC-NO-CUS,15,1,0,16,32000,3840,512000,573440
2025-05,South,Sales,RC-SO-SAL,64,2,0,66,45000,5400,2970000,3326400
2025-05,South,Warehouse,RC-SO-WAR,73,1,0,74,29000,3480,2146000,2403520
2025-05,South,Admin,RC-SO-ADM,29,1,0,30,56000,6720,1680000,1881600
2025-05,South,Field_Marketing,RC-SO-FIE,25,1,0,26,38000,4560,988000,1106560
2025-05,South,Customer_Support,RC-SO-CUS,21,1,0,22,32000,3840,704000,788480
2025-05,East,Sales,RC-EA-SAL,39,1,0,40,45000,5400,1800000,2016000
2025-05,East,Warehouse,RC-EA-WAR,49,1,0,50,29000,3480,1450000,1624000
2025-05,East,Admin,RC-EA-ADM,17,1,0,18,56000,6720,1008000,1128960
2025-05,East,Field_Marketing,RC-EA-FIE,15,1,0,16,38000,4560,608000,680960
2025-05,East,Customer_Support,RC-EA-CUS,13,1,0,14,32000,3840,448000,501760
2025-05,West,Sales,RC-WE-SAL,46,1,0,47,45000,5400,2115000,2368800
2025-05,West,Warehouse,RC-WE-WAR,55,1,0,56,29000,3480,1624000,1818880
2025-05,West,Admin,RC-WE-ADM,21,1,0,22,56000,6720,1232000,1379840
2025-05,West,Field_Marketing,RC-WE-FIE,18,1,0,19,38000,4560,722000,808640
2025-05,West,Customer_Support,RC-WE-CUS,16,1,0,17,32000,3840,544000,609280
2025-05,Central,Sales,RC-CE-SAL,33,1,0,34,45000,5400,1530000,1713600
2025-05,Central,Warehouse,RC-CE-WAR,43,1,0,44,29000,3480,1276000,1429120
2025-05,Central,Admin,RC-CE-ADM,15,1,0,16,56000,6720,896000,1003520
2025-05,Central,Field_Marketing,RC-CE-FIE,12,1,0,13,38000,4560,494000,553280
2025-05,Central,Customer_Support,RC-CE-CUS,11,1,0,12,32000,3840,384000,430080
2025-06,North,Sales,RC-NO-SAL,50,1,1,50,45000,5400,2250000,2520000
2025-06,North,Warehouse,RC-NO-WAR,60,1,1,60,29000,3480,1740000,1948800
2025-06,North,Admin,RC-NO-ADM,24,1,0,25,56000,6720,1400000,1568000
2025-06,North,Field_Marketing,RC-NO-FIE,20,1,1,20,38000,4560,760000,851200
2025-06,North,Customer_Support,RC-NO-CUS,16,1,1,16,32000,3840,512000,573440
2025-06,South,Sales,RC-SO-SAL,66,2,1,67,45000,5400,3015000,3376800
2025-06,South,Warehouse,RC-SO-WAR,74,1,1,74,29000,3480,2146000,2403520
2025-06,South,Admin,RC-SO-ADM,30,1,0,31,56000,6720,1736000,1944320
2025-06,South,Field_Marketing,RC-SO-FIE,26,1,1,26,38000,4560,988000,1106560
2025-06,South,Customer_Support,RC-SO-CUS,22,1,1,22,32000,3840,704000,788480
2025-06,East,Sales,RC-EA-SAL,40,1,1,40,45000,5400,1800000,2016000
2025-06,East,Warehouse,RC-EA-WAR,50,1,1,50,29000,3480,1450000,1624000
2025-06,East,Admin,RC-EA-ADM,18,1,0,19,56000,6720,1064000,1191680
2025-06,East,Field_Marketing,RC-EA-FIE,16,1,1,16,38000,4560,608000,680960
2025-06,East,Customer_Support,RC-EA-CUS,14,1,1,14,32000,3840,448000,501760
2025-06,West,Sales,RC-WE-SAL,47,1,1,47,45000,5400,2115000,2368800
2025-06,West,Warehouse,RC-WE-WAR,56,1,1,56,29000,3480,1624000,1818880
2025-06,West,Admin,RC-WE-ADM,22,1,0,23,56000,6720,1288000,1442560
2025-06,West,Field_Marketing,RC-WE-FIE,19,1,1,19,38000,4560,722000,808640
2025-06,West,Customer_Support,RC-WE-CUS,17,1,1,17,32000,3840,544000,609280
2025-06,Central,Sales,RC-CE-SAL,34,1,1,34,45000,5400,1530000,1713600
2025-06,Central,Warehouse,RC-CE-WAR,44,1,1,44,29000,3480,1276000,1429120
2025-06,Central,Admin,RC-CE-ADM,16,1,0,17,56000,6720,952000,1066240
2025-06,Central,Field_Marketing,RC-CE-FIE,13,1,1,13,38000,4560,494000,553280
2025-06,Central,Customer_Support,RC-CE-CUS,12,1,1,12,32000,3840,384000,430080
2025-07,North,Sales,RC-NO-SAL,50,1,0,51,45000,5400,2295000,2570400
