Account,Account_Type,Region,Product_Category,Channel,Month,Version,Amount
Gross_Sales,INC,Central,Beverages,E-Commerce,2025-04,Actual,5490762
COGS,EXP,Central,Beverages,E-Commerce,2025-04,Actual,2306120
Marketing,EXP,Central,Beverages,E-Commerce,2025-04,Actual,329446
Distribution,EXP,Central,Beverages,E-Commerce,2025-04,Actual,247084
Salary,EXP,Central,Beverages,E-Commerce,2025-04,Actual,466715
Freight,EXP,Central,Beverages,E-Commerce,2025-04,Actual,137269
Other_Opex,EXP,Central,Beverages,E-Commerce,2025-04,Actual,192177
Gross_Sales,INC,Central,Beverages,E-Commerce,2025-05,Actual,5841732
COGS,EXP,Central,Beverages,E-Commerce,2025-05,Actual,2453527
Marketing,EXP,Central,Beverages,E-Commerce,2025-05,Actual,350504
Distribution,EXP,Central,Beverages,E-Commerce,2025-05,Actual,262878
Salary,EXP,Central,Beverages,E-Commerce,2025-05,Actual,496547
Freight,EXP,Central,Beverages,E-Commerce,2025-05,Actual,146043
Other_Opex,EXP,Central,Beverages,E-Commerce,2025-05,Actual,204461
Gross_Sales,INC,Central,Beverages,E-Commerce,2025-06,Actual,5113302
COGS,EXP,Central,Beverages,E-Commerce,2025-06,Actual,2147587
Marketing,EXP,Central,Beverages,E-Commerce,2025-06,Actual,306798
Distribution,EXP,Central,Beverages,E-Commerce,2025-06,Actual,230099
Salary,EXP,Central,Beverages,E-Commerce,2025-06,Actual,434631
Freight,EXP,Central,Beverages,E-Commerce,2025-06,Actual,127833
Other_Opex,EXP,Central,Beverages,E-Commerce,2025-06,Actual,178966
Gross_Sales,INC,Central,Beverages,E-Commerce,2025-07,Actual,4624410
COGS,EXP,Central,Beverages,E-Commerce,2025-07,Actual,1942252
Marketing,EXP,Central,Beverages,E-Commerce,2025-07,Actual,277465
Distribution,EXP,Central,Beverages,E-Commerce,2025-07,Actual,208098
Salary,EXP,Central,Beverages,E-Commerce,2025-07,Actual,393075
Freight,EXP,Central,Beverages,E-Commerce,2025-07,Actual,115610
Other_Opex,EXP,Central,Beverages,E-Commerce,2025-07,Actual,161854
Gross_Sales,INC,Central,Beverages,E-Commerce,2025-08,Actual,5030283
COGS,EXP,Central,Beverages,E-Commerce,2025-08,Actual,2112719
Marketing,EXP,Central,Beverages,E-Commerce,2025-08,Actual,301817
Distribution,EXP,Central,Beverages,E-Commerce,2025-08,Actual,226363
Salary,EXP,Central,Beverages,E-Commerce,2025-08,Actual,427574
Freight,EXP,Central,Beverages,E-Commerce,2025-08,Actual,125757
Other_Opex,EXP,Central,Beverages,E-Commerce,2025-08,Actual,176060
Gross_Sales,INC,Central,Beverages,E-Commerce,2025-09,Actual,5561991
COGS,EXP,Central,Beverages,E-Commerce,2025-09,Actual,2336036
Marketing,EXP,Central,Beverages,E-Commerce,2025-09,Actual,333719
Distribution,EXP,Central,Beverages,E-Commerce,2025-09,Actual,250290
Salary,EXP,Central,Beverages,E-Commerce,2025-09,Actual,472769
Freight,EXP,Central,Beverages,E-Commerce,2025-09,Actual,139050
Other_Opex,EXP,Central,Beverages,E-Commerce,2025-09,Actual,194670
Gross_Sales,INC,Central,Beverages,E-Commerce,2025-10,Actual,6751515
COGS,EXP,Central,Beverages,E-Commerce,2025-10,Actual,2835636
Marketing,EXP,Central,Beverages,E-Commerce,2025-10,Actual,405091
Distribution,EXP,Central,Beverages,E-Commerce,2025-10,Actual,303818
Salary,EXP,Central,Beverages,E-Commerce,2025-10,Actual,573879
Freight,EXP,Central,Beverages,E-Commerce,2025-10,Actual,168788
Other_Opex,EXP,Central,Beverages,E-Commerce,2025-10,Actual,236303
Gross_Sales,INC,Central,Beverages,E-Commerce,2025-11,Actual,8077056
COGS,EXP,Central,Beverages,E-Commerce,2025-11,Actual,3392364
Marketing,EXP,Central,Beverages,E-Commerce,2025-11,Actual,484623
Distribution,EXP,Central,Beverages,E-Commerce,2025-11,Actual,363468
Salary,EXP,Central,Beverages,E-Commerce,2025-11,Actual,686550
Freight,EXP,Central,Beverages,E-Commerce,2025-11,Actual,201926
Other_Opex,EXP,Central,Beverages,E-Commerce,2025-11,Actual,282697
Gross_Sales,INC,Central,Beverages,E-Commerce,2025-12,Actual,5823531
COGS,EXP,Central,Beverages,E-Commerce,2025-12,Actual,2445883
Marketing,EXP,Central,Beverages,E-Commerce,2025-12,Actual,349412
Distribution,EXP,Central,Beverages,E-Commerce,2025-12,Actual,262059
Salary,EXP,Central,Beverages,E-Commerce,2025-12,Actual,495000
Freight,EXP,Central,Beverages,E-Commerce,2025-12,Actual,145588
Other_Opex,EXP,Central,Beverages,E-Commerce,2025-12,Actual,203824
Gross_Sales,INC,Central,Beverages,E-Commerce,2026-01,Actual,5114211
COGS,EXP,Central,Beverages,E-Commerce,2026-01,Actual,2147969
Marketing,EXP,Central,Beverages,E-Commerce,2026-01,Actual,306853
Distribution,EXP,Central,Beverages,E-Commerce,2026-01,Actual,230139
Salary,EXP,Central,Beverages,E-Commerce,2026-01,Actual,434708
Freight,EXP,Central,Beverages,E-Commerce,2026-01,Actual,127855
Other_Opex,EXP,Central,Beverages,E-Commerce,2026-01,Actual,178997
Gross_Sales,INC,Central,Beverages,E-Commerce,2026-02,Actual,5505531
COGS,EXP,Central,Beverages,E-Commerce,2026-02,Actual,2312323
Marketing,EXP,Central,Beverages,E-Commerce,2026-02,Actual,330332
Distribution,EXP,Central,Beverages,E-Commerce,2026-02,Actual,247749
Salary,EXP,Central,Beverages,E-Commerce,2026-02,Actual,467970
Freight,EXP,Central,Beverages,E-Commerce,2026-02,Actual,137638
Other_Opex,EXP,Central,Beverages,E-Commerce,2026-02,Actual,192694
Gross_Sales,INC,Central,Beverages,E-Commerce,2026-03,Actual,5851404
COGS,EXP,Central,Beverages,E-Commerce,2026-03,Actual,2457590
