Date,Fiscal_Quarter,Region,State,City,Latitude,Longitude,Channel,Customer_Segment,Product_Category,Brand,Product_SKU,Pack_Size,Distributor_ID,Distributor_Name,Sales_Rep_ID,Warehouse_Code,Promotion_Applied,Revenue,Net_Revenue,Units_Sold,Order_Count,Target,COGS,Gross_Margin,Discount_Amount,Returns_Units,Marketing_Spend,Freight_Cost,Unit_Price,In_Stock_Rate
2025-04-01,Q1,North,Delhi,New Delhi,28.6139,77.209,Modern Trade,Premium,Beverages,AquaFresh,BEV-AF-1L,1L,DIST-NO-0001,New Delhi FMCG Distributors Pvt Ltd,REP-No-090693,WH-NO-01,No,273151,269873,5812,323,262225,111992,161159,3278,64,14204,4917,47.0,84
2025-04-01,Q1,North,Delhi,New Delhi,28.6139,77.209,Modern Trade,Premium,Beverages,SipWell,BEV-SW-500ML,500ML,DIST-NO-0001,New Delhi FMCG Distributors Pvt Ltd,REP-No-090693,WH-NO-01,No,246778,243817,4570,228,236907,101179,145599,2961,50,12832,4442,54.0,86
2025-04-01,Q1,North,Delhi,New Delhi,28.6139,77.209,Modern Trade,Premium,Beverages,ChillUp,BEV-CU-2L,2L,DIST-NO-0001,New Delhi FMCG Distributors Pvt Ltd,REP-No-090693,WH-NO-01,No,238570,235707,3911,178,229027,97814,140756,2863,43,12406,4294,61.0,88
2025-04-01,Q1,North,Delhi,New Delhi,28.6139,77.209,Modern Trade,Premium,Beverages,FizzRoot,BEV-FR-750ML,750ML,DIST-NO-0001,New Delhi FMCG Distributors Pvt Ltd,REP-No-090693,WH-NO-01,No,222744,220071,3276,136,213834,91325,131419,2673,36,11583,4009,67.99,90
2025-04-01,Q1,North,Delhi,New Delhi,28.6139,77.209,Modern Trade,Premium,Beverages,PureMist,BEV-PM-1L,1L,DIST-NO-0001,New Delhi FMCG Distributors Pvt Ltd,REP-No-090693,WH-NO-01,No,191612,189313,2555,98,183948,78561,113051,2299,28,9964,3449,74.99,92
2025-04-01,Q1,North,Delhi,New Delhi,28.6139,77.209,Modern Trade,Premium,Snacks,CrunchyBite,SNK-CB-200G,200G,DIST-NO-0001,New Delhi FMCG Distributors Pvt Ltd,REP-No-090693,WH-NO-01,No,184561,182346,4195,233,177179,68288,116273,2215,46,9597,3322,44.0,84
2025-04-01,Q1,North,Delhi,New Delhi,28.6139,77.209,Modern Trade,Premium,Snacks,MasalaMix,SNK-MM-150G,150G,DIST-NO-0001,New Delhi FMCG Distributors Pvt Ltd,REP-No-090693,WH-NO-01,No,166742,164741,3269,163,160072,61695,105047,2001,36,8671,3001,51.01,86
2025-04-01,Q1,North,Delhi,New Delhi,28.6139,77.209,Modern Trade,Premium,Snacks,NutPop,SNK-NP-100G,100G,DIST-NO-0001,New Delhi FMCG Distributors Pvt Ltd,REP-No-090693,WH-NO-01,No,161196,159262,2779,126,154748,59643,101553,1934,31,8382,2902,58.01,88
2025-04-01,Q1,North,Delhi,New Delhi,28.6139,77.209,Modern Trade,Premium,Snacks,SpiceRack,SNK-SR-250G,250G,DIST-NO-0001,New Delhi FMCG Distributors Pvt Ltd,REP-No-090693,WH-NO-01,No,150503,148697,2315,96,144483,55686,94817,1806,25,7826,2709,65.01,90
2025-04-01,Q1,North,Delhi,New Delhi,28.6139,77.209,Modern Trade,Premium,Snacks,ChipsAhoy,SNK-CA-180G,180G,DIST-NO-0001,New Delhi FMCG Distributors Pvt Ltd,REP-No-090693,WH-NO-01,No,129468,127914,1798,69,124289,47903,81565,1554,20,6732,2330,72.01,92
2025-04-01,Q1,North,Delhi,New Delhi,28.6139,77.209,Modern Trade,Premium,Personal Care,GlowCare,PC-GC-SOAP,SOAP,DIST-NO-0001,New Delhi FMCG Distributors Pvt Ltd,REP-No-090693,WH-NO-01,No,140267,138584,2750,153,134656,61717,78550,1683,30,7294,2525,51.01,84
