Date,Country,US_Region,State,State_Code,City,Latitude,Longitude,Channel,Customer_Segment,Product_Category,Brand,Product_SKU,Pack_Size,Distributor_ID,Sales_Rep_ID,Promotion_Applied,Revenue,Net_Revenue,Units_Sold,Order_Count,Target,COGS,Gross_Margin,Discount_Amount,Returns_Units,Marketing_Spend,Freight_Cost,Unit_Price
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Beverages,AquaFresh,BEV-AF-1L,1L,US-D-0001,US-REP-07DD1D,No,300246,294241,5774,288,288236,117096,183150,6005,58,14412,4804,52.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Beverages,SipWell,BEV-SW-500ML,500ML,US-D-0001,US-REP-07DD1D,No,274852,269355,4739,236,263858,107192,167660,5497,47,13193,4398,58.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Beverages,ChillUp,BEV-CU-2L,2L,US-D-0001,US-REP-07DD1D,No,267478,262128,4179,208,256779,104316,163162,5350,42,12839,4280,64.01
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Beverages,FizzRoot,BEV-FR-750ML,750ML,US-D-0001,US-REP-07DD1D,No,243607,238735,3480,174,233863,95007,148600,4872,35,11693,3898,70.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Beverages,PureMist,BEV-PM-1L,1L,US-D-0001,US-REP-07DD1D,No,219097,214715,2883,144,210333,85448,133649,4382,29,10517,3506,76.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Snacks,CrunchyBite,SNK-CB-200G,200G,US-D-0001,US-REP-07DD1D,No,200164,196161,3849,192,192157,70057,130107,4003,38,9608,3203,52.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Snacks,MasalaMix,SNK-MM-150G,150G,US-D-0001,US-REP-07DD1D,No,183235,179570,3159,157,175906,64132,119103,3665,32,8795,2932,58.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Snacks,NutPop,SNK-NP-100G,100G,US-D-0001,US-REP-07DD1D,No,178318,174752,2786,139,171185,62411,115907,3566,28,8559,2853,64.01
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Snacks,SpiceRack,SNK-SR-250G,250G,US-D-0001,US-REP-07DD1D,No,162405,159157,2320,116,155909,56842,105563,3248,23,7795,2598,70.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Snacks,ChipsAhoy,SNK-CA-180G,180G,US-D-0001,US-REP-07DD1D,No,146065,143144,1922,96,140222,51123,94942,2921,19,7011,2337,76.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Personal Care,GlowCare,PC-GC-SOAP,SOAP,US-D-0001,US-REP-07DD1D,No,150123,147121,2887,144,144118,64553,85570,3002,29,7206,2402,52.0
2025-01-01,United States,Northeast,New York,NY,New York City,40.7128,-74.006,Modern Trade,Premium,Personal Care,PureShield,PC-PS-SAN,SAN,US-D-0001,US-REP-07DD1D,No,137426,134677,2369,118,131929,59093,78333,2749,24,6596,2199,58.01
